Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.13170
0.10000,-0.01370,0.00000
0.20000,-0.03040,-0.13170
0.30000,-0.04710,-0.13170
0.40000,-0.06370,-0.13170
0.50000,-0.08040,-0.13170
0.60000,-0.09710,-0.13170
0.70000,-0.11370,-0.13170
0.80000,-0.13040,-0.13170
0.90000,-0.14710,-0.13170
1.00000,-0.16370,-0.13170
1.10000,-0.18040,-0.13170
1.20000,-0.19710,-0.13170
1.30000,-0.21370,-0.13170
1.40000,-0.23040,-0.13170
1.50000,-0.24700,-0.13170
1.60000,-0.26370,-0.13170
1.70000,-0.28040,-0.13170
1.80000,-0.29700,-0.13170
1.90000,-0.31370,-0.13170
2.00000,-0.33040,-0.13170
2.10000,-0.34700,0.00000
2.20000,-0.36370,-0.13170
2.30000,-0.38040,-0.13170
2.40000,-0.39700,-0.13170
2.50000,-0.41370,-0.13170
2.60000,-0.43040,-0.13170
2.70000,-0.44700,-0.13170
2.80000,-0.46370,0.00000
2.90000,-0.48040,-0.13170
3.00000,-0.49700,-0.13170
3.10000,-0.51370,-0.13170
3.20000,-0.53040,-0.13170
3.30000,-0.54700,-0.13170
3.40000,-0.56370,-0.13170
3.50000,-0.58040,-0.13170
3.60000,-0.59700,-0.13170
3.70000,-0.61370,-0.13170
3.80000,-0.63040,-0.13170
3.90000,-0.64700,-0.13170
4.00000,-0.66370,-0.13170
4.10000,-0.68040,-0.13170
4.20000,-0.69700,-0.26331
4.30000,-0.71370,-0.26331
4.40000,-0.73040,-0.39491
4.50000,-0.74700,-0.39491
4.60000,-0.76370,-0.39491
4.70000,-0.78030,-0.52662
4.80000,-0.79700,-0.52662
4.90000,-0.81370,-0.52662
5.00000,-0.83030,-0.65822
5.10000,-0.84700,-0.65822
5.20000,-0.86370,-0.78983
5.30000,-0.88030,-0.92143
5.40000,-0.89700,-1.05314
5.50000,-0.91370,-1.05314
5.60000,-0.93030,-1.18474
5.70000,-0.94700,-1.31635
5.80000,-0.96370,-1.31635
5.90000,-0.98030,-1.44805
6.00000,-0.99700,-1.44805
6.10000,-1.01370,-1.57966
6.20000,-1.03030,-1.57966
6.30000,-1.04700,-1.71126
6.40000,-1.06370,-1.84287
6.50000,-1.08030,-1.84287
6.60000,-1.09700,-1.97457
6.70000,-1.11370,-2.10617
6.80000,-1.13030,-2.10617
6.90000,-1.14700,-2.23778
7.00000,-1.16370,-2.23778
7.10000,-1.18030,-2.36948
7.20000,-1.19700,-2.50109
7.30000,-1.21370,-2.50109
7.40000,-1.23030,-2.50109
7.50000,-1.24700,-2.63269
7.60000,-1.26360,-2.63269
7.70000,-1.28030,-2.76430
7.80000,-1.29700,-2.76430
7.90000,-1.31360,-2.89600
8.00000,-1.33030,-2.76430
